@relation intent


@attribute speed1 numeric
@attribute speed2 numeric
@attribute speed3 numeric
@attribute speed4 numeric
@attribute speed5 numeric
@attribute speed6 numeric
@attribute speed7 numeric
@attribute speed8 numeric
@attribute speed9 numeric
@attribute speed10 numeric
@attribute speed11 numeric
@attribute speed12 numeric
@attribute speed13 numeric
@attribute speed14 numeric
@attribute speed15 numeric
@attribute speed16 numeric
@attribute speed17 numeric
@attribute speed18 numeric
@attribute speed19 numeric
@attribute speed20 numeric
@attribute stops {yes, no}


@data
18.88, 18.79, 18.70, 18.61, 18.53, 18.44, 18.35, 18.26, 18.17, 18.09, 18.00, 17.91, 17.82, 17.73, 17.65, 17.56, 17.47, 17.38, 17.28, 17.19, yes
21.00, 21.06, 21.11, 21.17, 21.23, 21.28, 21.34, 21.40, 21.45, 21.51, 21.50, 21.42, 21.33, 21.24, 21.15, 21.06, 20.98, 20.89, 20.80, 20.71, no
19.03, 19.00, 18.96, 18.93, 18.89, 18.85, 18.81, 18.78, 18.74, 18.70, 18.67, 18.63, 18.59, 18.55, 18.52, 18.48, 18.44, 18.41, 18.37, 18.28, yes
20.89, 20.89, 20.89, 20.89, 20.89, 20.89, 20.89, 20.89, 20.89, 20.88, 20.77, 20.66, 20.56, 20.45, 20.34, 20.24, 20.13, 20.02, 19.92, 19.81, no
18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, 18.74, no
21.83, 21.84, 21.85, 21.85, 21.86, 21.87, 21.88, 21.89, 21.90, 21.90, 21.91, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, no
19.45, 19.38, 19.30, 19.22, 19.14, 19.06, 18.98, 18.90, 18.83, 18.75, 18.67, 18.59, 18.51, 18.43, 18.35, 18.27, 18.19, 18.11, 18.03, 17.92, yes
20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, 20.06, no
18.89, 18.89, 18.84, 18.75, 18.66, 18.56, 18.47, 18.38, 18.29, 18.20, 18.11, 18.02, 17.93, 17.84, 17.74, 17.65, 17.56, 17.47, 17.38, 17.29, yes
19.65, 19.65, 19.65, 19.64, 19.54, 19.44, 19.33, 19.23, 19.13, 19.03, 18.93, 18.83, 18.72, 18.62, 18.52, 18.42, 18.32, 18.22, 18.11, 18.01, yes
19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, 19.72, no
19.36, 19.33, 19.29, 19.26, 19.18, 19.08, 18.98, 18.87, 18.77, 18.67, 18.56, 18.46, 18.36, 18.25, 18.15, 18.05, 17.94, 17.84, 17.74, 17.63, yes
21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, no
19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, 19.50, no
19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.77, no
18.68, 18.59, 18.50, 18.42, 18.33, 18.24, 18.15, 18.06, 17.97, 17.89, 17.80, 17.71, 17.62, 17.53, 17.45, 17.36, 17.27, 17.18, 17.07, 16.96, yes
20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, 20.70, no
20.26, 20.28, 20.29, 20.31, 20.32, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, 20.34, no
19.72, 19.72, 19.72, 19.72, 19.63, 19.54, 19.44, 19.35, 19.25, 19.16, 19.06, 18.97, 18.87, 18.78, 18.68, 18.59, 18.49, 18.40, 18.30, 18.21, no
20.31, 20.31, 20.31, 20.31, 20.28, 20.18, 20.07, 19.97, 19.86, 19.76, 19.65, 19.54, 19.44, 19.33, 19.23, 19.12, 19.02, 18.91, 18.80, 18.70, yes
18.24, 18.19, 18.09, 18.00, 17.90, 17.81, 17.71, 17.62, 17.52, 17.43, 17.33, 17.24, 17.14, 17.05, 16.95, 16.86, 16.76, 16.67, 16.57, 16.46, yes
18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, 18.99, no
18.59, 18.49, 18.40, 18.30, 18.21, 18.12, 18.02, 17.93, 17.83, 17.74, 17.64, 17.55, 17.45, 17.36, 17.26, 17.17, 17.06, 16.96, 16.85, 16.75, yes
20.54, 20.58, 20.62, 20.66, 20.70, 20.74, 20.78, 20.82, 20.85, 20.85, 20.85, 20.85, 20.85, 20.85, 20.85, 20.85, 20.85, 20.85, 20.85, 20.85, no
21.94, 21.94, 21.94, 21.94, 21.94, 21.94, 21.94, 21.94, 21.94, 21.94, 21.94, 21.91, 21.82, 21.74, 21.66, 21.57, 21.49, 21.41, 21.32, 21.24, no
18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.08, 18.02, 17.94, 17.86, 17.78, yes
20.40, 20.40, 20.40, 20.40, 20.40, 20.39, 20.30, 20.21, 20.12, 20.03, 19.93, 19.84, 19.75, 19.66, 19.57, 19.48, 19.38, 19.29, 19.20, 19.11, no
20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, 20.92, no
18.65, 18.63, 18.57, 18.50, 18.44, 18.38, 18.32, 18.26, 18.20, 18.14, 18.07, 18.01, 17.95, 17.89, 17.83, 17.77, 17.70, 17.64, 17.58, 17.47, yes
21.15, 21.15, 21.15, 21.15, 21.15, 21.15, 21.13, 21.05, 20.97, 20.89, 20.81, 20.72, 20.64, 20.56, 20.48, 20.40, 20.32, 20.24, 20.16, 20.08, no
21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.92, 21.83, 21.73, 21.63, 21.53, 21.43, 21.33, 21.23, 21.13, no
21.00, 21.00, 21.00, 21.00, 21.00, 21.00, 21.00, 20.98, 20.90, 20.82, 20.74, 20.66, 20.58, 20.50, 20.42, 20.34, 20.27, 20.19, 20.11, 20.03, no
20.39, 20.30, 20.22, 20.14, 20.06, 19.98, 19.90, 19.82, 19.73, 19.62, 19.51, 19.40, 19.29, 19.18, 19.07, 18.96, 18.85, 18.73, 18.62, 18.51, yes
19.44, 19.40, 19.32, 19.23, 19.14, 19.05, 18.96, 18.87, 18.78, 18.69, 18.61, 18.52, 18.43, 18.34, 18.25, 18.16, 18.07, 17.98, 17.89, 17.80, no
19.80, 19.77, 19.74, 19.72, 19.69, 19.66, 19.60, 19.49, 19.38, 19.27, 19.16, 19.06, 18.95, 18.84, 18.73, 18.62, 18.52, 18.41, 18.30, 18.19, yes
20.54, 20.54, 20.54, 20.54, 20.54, 20.54, 20.54, 20.46, 20.35, 20.25, 20.15, 20.05, 19.95, 19.85, 19.75, 19.65, 19.55, 19.44, 19.34, 19.24, no
18.32, 18.32, 18.28, 18.24, 18.19, 18.14, 18.10, 18.05, 18.00, 17.96, 17.91, 17.86, 17.82, 17.77, 17.72, 17.68, 17.63, 17.58, 17.54, 17.47, yes
21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, 21.53, no
20.27, 20.23, 20.18, 20.14, 20.10, 20.03, 19.92, 19.82, 19.71, 19.60, 19.49, 19.38, 19.27, 19.16, 19.05, 18.95, 18.84, 18.73, 18.62, 18.51, yes
18.08, 17.99, 17.90, 17.81, 17.72, 17.62, 17.53, 17.43, 17.34, 17.24, 17.15, 17.05, 16.96, 16.86, 16.77, 16.67, 16.58, 16.48, 16.39, 16.29, yes
21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, 21.44, no
21.91, 21.91, 21.91, 21.91, 21.91, 21.91, 21.91, 21.91, 21.87, 21.77, 21.67, 21.57, 21.47, 21.37, 21.27, 21.17, 21.07, 20.97, 20.87, 20.77, no
17.98, 17.89, 17.80, 17.71, 17.61, 17.52, 17.43, 17.34, 17.25, 17.15, 17.06, 16.97, 16.88, 16.79, 16.69, 16.59, 16.49, 16.39, 16.29, 16.19, yes
19.77, 19.77, 19.77, 19.77, 19.77, 19.77, 19.74, 19.64, 19.55, 19.45, 19.35, 19.26, 19.16, 19.06, 18.96, 18.87, 18.77, 18.67, 18.58, 18.48, no
19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, 19.45, no
20.22, 20.22, 20.22, 20.22, 20.22, 20.12, 20.01, 19.90, 19.79, 19.69, 19.58, 19.47, 19.36, 19.25, 19.15, 19.04, 18.93, 18.82, 18.71, 18.61, yes
19.44, 19.40, 19.32, 19.23, 19.14, 19.05, 18.96, 18.87, 18.78, 18.69, 18.61, 18.52, 18.43, 18.34, 18.25, 18.16, 18.07, 17.98, 17.89, 17.80, no
19.06, 19.06, 19.06, 19.06, 19.04, 18.96, 18.88, 18.80, 18.72, 18.64, 18.57, 18.49, 18.41, 18.33, 18.25, 18.17, 18.09, 18.01, 17.93, 17.85, yes
18.27, 18.25, 18.24, 18.22, 18.21, 18.19, 18.18, 18.16, 18.15, 18.13, 18.12, 18.10, 18.08, 18.07, 18.05, 18.04, 18.02, 17.96, 17.84, 17.73, yes
19.51, 19.42, 19.32, 19.23, 19.13, 19.04, 18.94, 18.84, 18.73, 18.63, 18.53, 18.42, 18.32, 18.21, 18.11, 18.00, 17.90, 17.80, 17.69, 17.59, yes
21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, 21.82, no
21.49, 21.49, 21.49, 21.49, 21.49, 21.49, 21.49, 21.49, 21.49, 21.49, 21.47, 21.38, 21.30, 21.22, 21.13, 21.05, 20.96, 20.88, 20.80, 20.71, no
19.32, 19.27, 19.21, 19.15, 19.10, 19.04, 18.98, 18.92, 18.86, 18.80, 18.74, 18.68, 18.62, 18.56, 18.50, 18.44, 18.38, 18.32, 18.27, 18.17, yes
21.03, 21.03, 21.03, 21.03, 21.03, 21.03, 21.03, 21.00, 20.91, 20.82, 20.73, 20.64, 20.55, 20.46, 20.37, 20.28, 20.18, 20.09, 20.00, 19.91, no
