@relation intent


@attribute speed1 numeric
@attribute speed2 numeric
@attribute speed3 numeric
@attribute speed4 numeric
@attribute speed5 numeric
@attribute speed6 numeric
@attribute speed7 numeric
@attribute speed8 numeric
@attribute speed9 numeric
@attribute speed10 numeric
@attribute speed11 numeric
@attribute speed12 numeric
@attribute speed13 numeric
@attribute speed14 numeric
@attribute speed15 numeric
@attribute speed16 numeric
@attribute speed17 numeric
@attribute speed18 numeric
@attribute speed19 numeric
@attribute speed20 numeric
@attribute stops {yes, no}


@data
18.44, 18.35, 18.26, 18.17, 18.07, 17.97, 17.87, 17.78, 17.68, 17.58, 17.49, 17.39, 17.29, 17.20, 17.10, 17.00, 16.91, 16.81, 16.71, 16.61, yes
20.45, 20.45, 20.45, 20.45, 20.45, 20.45, 20.45, 20.45, 20.38, 20.27, 20.16, 20.05, 19.94, 19.83, 19.72, 19.62, 19.51, 19.40, 19.29, 19.18, yes
19.31, 19.29, 19.24, 19.19, 19.14, 19.08, 19.03, 18.98, 18.93, 18.88, 18.83, 18.78, 18.73, 18.68, 18.63, 18.58, 18.53, 18.47, 18.42, 18.36, yes
20.97, 21.07, 21.17, 21.27, 21.37, 21.46, 21.56, 21.66, 21.76, 21.74, 21.66, 21.58, 21.50, 21.42, 21.34, 21.26, 21.18, 21.10, 21.02, 20.94, no
19.68, 19.68, 19.63, 19.53, 19.42, 19.32, 19.21, 19.11, 19.01, 18.90, 18.80, 18.70, 18.59, 18.49, 18.38, 18.28, 18.18, 18.07, 17.97, 17.87, yes
19.01, 19.01, 18.94, 18.85, 18.76, 18.67, 18.59, 18.50, 18.41, 18.32, 18.24, 18.15, 18.06, 17.97, 17.88, 17.80, 17.71, 17.62, 17.53, 17.44, no
19.47, 19.39, 19.30, 19.21, 19.13, 19.04, 18.95, 18.86, 18.77, 18.68, 18.59, 18.50, 18.42, 18.33, 18.24, 18.15, 18.06, 17.97, 17.88, 17.78, no
21.05, 21.05, 21.05, 21.05, 21.05, 21.05, 21.05, 21.05, 21.05, 21.05, 21.01, 20.91, 20.82, 20.73, 20.63, 20.54, 20.45, 20.35, 20.26, 20.17, no
19.02, 18.96, 18.86, 18.76, 18.66, 18.56, 18.46, 18.36, 18.26, 18.16, 18.06, 17.97, 17.87, 17.77, 17.67, 17.57, 17.47, 17.37, 17.27, 17.16, yes
19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, 19.52, no
19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, 19.92, no
20.58, 20.67, 20.75, 20.83, 20.92, 21.00, 21.09, 21.17, 21.22, 21.22, 21.22, 21.22, 21.22, 21.22, 21.22, 21.22, 21.22, 21.22, 21.22, 21.22, no
21.34, 21.35, 21.35, 21.35, 21.35, 21.35, 21.35, 21.35, 21.35, 21.34, 21.24, 21.15, 21.05, 20.95, 20.85, 20.76, 20.66, 20.56, 20.46, 20.36, no
17.94, 17.85, 17.77, 17.68, 17.58, 17.49, 17.39, 17.30, 17.20, 17.11, 17.02, 16.92, 16.83, 16.73, 16.64, 16.54, 16.45, 16.35, 16.26, 16.16, yes
18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, 18.90, no
21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, 21.30, no
19.50, 19.48, 19.41, 19.33, 19.25, 19.17, 19.09, 19.01, 18.94, 18.86, 18.78, 18.70, 18.62, 18.54, 18.47, 18.39, 18.31, 18.23, 18.15, 18.07, yes
19.24, 19.24, 19.24, 19.24, 19.24, 19.15, 19.05, 18.95, 18.85, 18.76, 18.66, 18.56, 18.46, 18.36, 18.27, 18.17, 18.07, 17.97, 17.88, 17.78, yes
21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, 21.19, no
19.78, 19.78, 19.78, 19.76, 19.66, 19.57, 19.47, 19.37, 19.28, 19.18, 19.08, 18.98, 18.89, 18.79, 18.69, 18.60, 18.50, 18.40, 18.31, 18.21, yes
20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, 20.30, no
20.45, 20.45, 20.45, 20.45, 20.45, 20.42, 20.32, 20.22, 20.11, 20.01, 19.90, 19.80, 19.69, 19.59, 19.48, 19.38, 19.27, 19.17, 19.06, 18.96, yes
21.45, 21.45, 21.45, 21.45, 21.45, 21.45, 21.45, 21.45, 21.39, 21.30, 21.21, 21.12, 21.03, 20.94, 20.84, 20.75, 20.66, 20.57, 20.48, 20.39, no
18.13, 18.09, 18.05, 18.00, 17.96, 17.92, 17.88, 17.84, 17.80, 17.75, 17.71, 17.67, 17.63, 17.59, 17.54, 17.50, 17.46, 17.35, 17.24, 17.14, yes
18.36, 18.35, 18.28, 18.19, 18.09, 18.00, 17.90, 17.80, 17.71, 17.61, 17.51, 17.42, 17.32, 17.23, 17.13, 17.03, 16.94, 16.84, 16.74, 16.64, yes
20.89, 20.99, 21.10, 21.20, 21.31, 21.41, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, 21.43, no
20.93, 20.93, 20.93, 20.93, 20.93, 20.93, 20.92, 20.82, 20.73, 20.63, 20.53, 20.43, 20.33, 20.23, 20.13, 20.03, 19.93, 19.83, 19.74, 19.64, no
19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, 19.99, no
20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, 20.97, no
20.87, 20.98, 21.09, 21.19, 21.30, 21.41, 21.51, 21.50, 21.43, 21.35, 21.27, 21.20, 21.12, 21.04, 20.97, 20.89, 20.81, 20.74, 20.66, 20.58, no
