@relation intent


@attribute speed1 numeric
@attribute speed2 numeric
@attribute speed3 numeric
@attribute speed4 numeric
@attribute speed5 numeric
@attribute speed6 numeric
@attribute speed7 numeric
@attribute speed8 numeric
@attribute speed9 numeric
@attribute speed10 numeric
@attribute speed11 numeric
@attribute speed12 numeric
@attribute speed13 numeric
@attribute speed14 numeric
@attribute speed15 numeric
@attribute speed16 numeric
@attribute speed17 numeric
@attribute speed18 numeric
@attribute speed19 numeric
@attribute speed20 numeric
@attribute stops {yes, no}


@data
19.35, 19.35, 19.35, 19.30, 19.22, 19.14, 19.06, 18.97, 18.89, 18.81, 18.73, 18.65, 18.56, 18.48, 18.40, 18.32, 18.24, 18.15, 18.07, 17.99, yes
18.58, 18.49, 18.40, 18.31, 18.22, 18.12, 18.02, 17.93, 17.83, 17.73, 17.63, 17.53, 17.43, 17.33, 17.23, 17.13, 17.03, 16.93, 16.84, 16.74, yes
18.95, 18.89, 18.82, 18.75, 18.68, 18.60, 18.50, 18.40, 18.30, 18.20, 18.10, 18.00, 17.90, 17.80, 17.70, 17.60, 17.50, 17.40, 17.30, 17.20, yes
18.24, 18.15, 18.06, 17.97, 17.87, 17.77, 17.68, 17.58, 17.49, 17.39, 17.30, 17.20, 17.11, 17.01, 16.91, 16.82, 16.72, 16.63, 16.53, 16.43, yes
18.46, 18.46, 18.44, 18.37, 18.30, 18.22, 18.15, 18.08, 18.00, 17.93, 17.86, 17.79, 17.71, 17.64, 17.57, 17.50, 17.42, 17.35, 17.28, 17.20, yes
17.96, 17.87, 17.78, 17.69, 17.60, 17.50, 17.41, 17.31, 17.22, 17.13, 17.03, 16.94, 16.85, 16.75, 16.66, 16.56, 16.47, 16.38, 16.28, 16.18, yes
17.93, 17.84, 17.76, 17.67, 17.59, 17.50, 17.42, 17.33, 17.25, 17.16, 17.07, 16.99, 16.90, 16.82, 16.73, 16.63, 16.53, 16.43, 16.32, 16.22, yes
18.65, 18.62, 18.57, 18.48, 18.38, 18.28, 18.18, 18.08, 17.99, 17.89, 17.79, 17.69, 17.60, 17.50, 17.40, 17.30, 17.20, 17.11, 17.01, 16.91, yes
18.13, 18.04, 17.95, 17.86, 17.76, 17.67, 17.58, 17.48, 17.39, 17.30, 17.20, 17.11, 17.02, 16.92, 16.83, 16.74, 16.64, 16.55, 16.45, 16.34, yes
18.61, 18.60, 18.59, 18.57, 18.56, 18.55, 18.53, 18.52, 18.51, 18.49, 18.48, 18.47, 18.45, 18.44, 18.43, 18.41, 18.40, 18.39, 18.37, 18.32, yes
17.92, 17.88, 17.83, 17.78, 17.73, 17.68, 17.63, 17.59, 17.54, 17.49, 17.44, 17.39, 17.34, 17.29, 17.25, 17.19, 17.09, 16.98, 16.88, 16.77, yes
19.25, 19.15, 19.06, 18.97, 18.87, 18.78, 18.68, 18.58, 18.48, 18.37, 18.27, 18.17, 18.06, 17.96, 17.86, 17.75, 17.65, 17.55, 17.44, 17.34, yes
18.26, 18.17, 18.07, 17.98, 17.89, 17.79, 17.70, 17.61, 17.52, 17.42, 17.33, 17.24, 17.14, 17.05, 16.96, 16.87, 16.76, 16.66, 16.56, 16.45, yes
19.42, 19.37, 19.31, 19.21, 19.11, 19.01, 18.90, 18.80, 18.70, 18.60, 18.50, 18.40, 18.30, 18.19, 18.09, 17.99, 17.89, 17.79, 17.69, 17.59, yes
18.36, 18.27, 18.18, 18.09, 18.00, 17.90, 17.81, 17.71, 17.61, 17.51, 17.42, 17.32, 17.22, 17.13, 17.03, 16.93, 16.83, 16.74, 16.64, 16.54, yes
19.07, 19.07, 19.07, 19.07, 19.01, 18.95, 18.89, 18.83, 18.77, 18.71, 18.65, 18.59, 18.53, 18.47, 18.41, 18.35, 18.29, 18.23, 18.17, 18.12, yes
18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.15, 18.10, 18.00, yes
19.59, 19.49, 19.40, 19.30, 19.21, 19.11, 19.01, 18.91, 18.80, 18.70, 18.59, 18.49, 18.38, 18.28, 18.17, 18.07, 17.96, 17.86, 17.75, 17.65, yes
18.98, 18.98, 18.98, 18.97, 18.93, 18.89, 18.85, 18.81, 18.78, 18.74, 18.70, 18.66, 18.62, 18.58, 18.54, 18.50, 18.46, 18.43, 18.39, 18.35, yes
18.18, 18.09, 18.01, 17.92, 17.83, 17.73, 17.64, 17.54, 17.45, 17.35, 17.25, 17.16, 17.06, 16.97, 16.87, 16.77, 16.68, 16.58, 16.49, 16.39, yes
18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.11, 18.08, 18.01, yes
18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.04, 18.01, 17.92, 17.84, 17.75, yes
18.86, 18.86, 18.86, 18.82, 18.73, 18.64, 18.55, 18.46, 18.37, 18.28, 18.18, 18.09, 18.00, 17.91, 17.82, 17.73, 17.64, 17.55, 17.46, 17.37, yes
19.66, 19.66, 19.66, 19.66, 19.61, 19.53, 19.46, 19.39, 19.32, 19.24, 19.17, 19.10, 19.03, 18.95, 18.88, 18.81, 18.73, 18.66, 18.59, 18.52, yes
18.42, 18.42, 18.39, 18.35, 18.32, 18.28, 18.24, 18.20, 18.16, 18.12, 18.08, 18.04, 18.01, 17.97, 17.93, 17.89, 17.85, 17.81, 17.77, 17.73, yes
18.96, 18.86, 18.77, 18.67, 18.57, 18.47, 18.37, 18.28, 18.18, 18.08, 17.98, 17.88, 17.79, 17.69, 17.59, 17.49, 17.40, 17.29, 17.19, 17.08, yes
18.05, 17.97, 17.88, 17.78, 17.69, 17.59, 17.50, 17.40, 17.31, 17.21, 17.12, 17.02, 16.93, 16.84, 16.74, 16.65, 16.55, 16.46, 16.36, 16.25, yes
19.45, 19.45, 19.45, 19.45, 19.45, 19.38, 19.30, 19.21, 19.12, 19.04, 18.95, 18.86, 18.78, 18.69, 18.60, 18.52, 18.43, 18.34, 18.26, 18.17, yes
19.35, 19.35, 19.35, 19.30, 19.22, 19.14, 19.06, 18.97, 18.89, 18.81, 18.73, 18.65, 18.56, 18.48, 18.40, 18.32, 18.24, 18.15, 18.07, 17.99, yes
19.59, 19.59, 19.53, 19.43, 19.33, 19.24, 19.14, 19.04, 18.94, 18.84, 18.74, 18.65, 18.55, 18.45, 18.35, 18.25, 18.16, 18.06, 17.96, 17.86, yes
18.13, 18.04, 17.95, 17.86, 17.77, 17.67, 17.58, 17.48, 17.38, 17.29, 17.19, 17.10, 17.00, 16.91, 16.81, 16.72, 16.62, 16.52, 16.43, 16.33, yes
18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.21, 18.17, 18.09, 18.02, 17.94, yes
19.08, 19.02, 18.96, 18.91, 18.85, 18.75, 18.65, 18.55, 18.45, 18.34, 18.24, 18.14, 18.04, 17.93, 17.83, 17.73, 17.63, 17.53, 17.42, 17.32, yes
20.35, 20.29, 20.24, 20.18, 20.13, 20.07, 20.02, 19.97, 19.91, 19.80, 19.69, 19.58, 19.46, 19.35, 19.24, 19.12, 19.01, 18.90, 18.79, 18.67, yes
18.55, 18.46, 18.37, 18.28, 18.19, 18.09, 18.00, 17.90, 17.80, 17.70, 17.60, 17.50, 17.40, 17.30, 17.20, 17.11, 17.01, 16.91, 16.81, 16.71, yes
18.76, 18.67, 18.59, 18.50, 18.41, 18.31, 18.21, 18.11, 18.01, 17.91, 17.81, 17.71, 17.62, 17.52, 17.42, 17.32, 17.22, 17.12, 17.02, 16.92, yes
18.04, 17.97, 17.88, 17.79, 17.69, 17.60, 17.50, 17.41, 17.32, 17.22, 17.13, 17.04, 16.94, 16.85, 16.75, 16.66, 16.57, 16.47, 16.38, 16.27, yes
18.86, 18.81, 18.75, 18.70, 18.60, 18.50, 18.40, 18.30, 18.20, 18.11, 18.01, 17.91, 17.81, 17.71, 17.61, 17.51, 17.41, 17.31, 17.22, 17.12, yes
18.94, 18.85, 18.76, 18.67, 18.57, 18.47, 18.37, 18.27, 18.17, 18.07, 17.97, 17.87, 17.77, 17.67, 17.57, 17.47, 17.37, 17.27, 17.17, 17.07, yes
20.08, 20.01, 19.94, 19.88, 19.81, 19.74, 19.67, 19.60, 19.51, 19.41, 19.30, 19.19, 19.08, 18.97, 18.86, 18.75, 18.64, 18.53, 18.42, 18.31, yes
18.39, 18.30, 18.21, 18.12, 18.03, 17.93, 17.83, 17.73, 17.64, 17.54, 17.44, 17.35, 17.25, 17.15, 17.06, 16.96, 16.86, 16.76, 16.67, 16.57, yes
19.24, 19.15, 19.06, 18.96, 18.87, 18.77, 18.67, 18.57, 18.47, 18.37, 18.26, 18.16, 18.06, 17.96, 17.86, 17.75, 17.65, 17.55, 17.45, 17.35, yes
