@relation intent


@attribute speed1 numeric
@attribute speed2 numeric
@attribute speed3 numeric
@attribute speed4 numeric
@attribute speed5 numeric
@attribute speed6 numeric
@attribute speed7 numeric
@attribute speed8 numeric
@attribute speed9 numeric
@attribute speed10 numeric
@attribute speed11 numeric
@attribute speed12 numeric
@attribute speed13 numeric
@attribute speed14 numeric
@attribute speed15 numeric
@attribute speed16 numeric
@attribute speed17 numeric
@attribute speed18 numeric
@attribute speed19 numeric
@attribute speed20 numeric
@attribute speed21 numeric
@attribute speed22 numeric
@attribute speed23 numeric
@attribute speed24 numeric
@attribute speed25 numeric
@attribute speed26 numeric
@attribute speed27 numeric
@attribute speed28 numeric
@attribute speed29 numeric
@attribute speed30 numeric
@attribute stops {yes, no}


@data
29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, 29.41, no
29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, 29.93, no
29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, 29.66, no
27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, 27.46, no
26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, 26.53, no
28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, no
26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, 26.21, no
26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, 26.14, no
29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, 29.25, no
29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, 29.33, no
27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, 27.71, no
29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, 29.11, no
28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, 28.30, no
26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, 26.56, no
29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, 29.82, no
26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, 26.67, no
29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, 29.17, no
29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, 29.07, no
